Baender;Zahlen;Run;Nano;Sekunden
2;1000;3;384057000;0
2;1000;6;420319000;0
2;1000;9;547072000;0
2;1000;12;270174000;0
2;1000;15;282468000;0
2;2000;3;726597000;0
2;2000;6;671381000;0
2;2000;9;654987000;0
2;2000;12;673638000;0
2;2000;15;529160000;0
2;3000;3;1106573000;1
2;3000;6;976529000;0
2;3000;9;1008637000;1
2;3000;12;915972000;0
2;3000;15;1162117000;1
2;4000;3;1618052000;1
2;4000;6;1657129000;1
2;4000;9;1360861000;1
2;4000;12;1321714000;1
2;4000;15;1219715000;1
2;5000;3;2129756000;2
2;5000;6;1847639000;1
2;5000;9;1777394000;1
2;5000;12;1546520000;1
2;5000;15;1703421000;1
4;1000;3;333084000;0
4;1000;6;273519000;0
4;1000;9;238777000;0
4;1000;12;229459000;0
4;1000;15;231607000;0
4;2000;3;785810000;0
4;2000;6;742535000;0
4;2000;9;516311000;0
4;2000;12;534167000;0
4;2000;15;513647000;0
4;3000;3;988552000;0
4;3000;6;930044000;0
4;3000;9;916795000;0
4;3000;12;825333000;0
4;3000;15;993763000;0
4;4000;3;1492369000;1
4;4000;6;1442680000;1
4;4000;9;1286794000;1
4;4000;12;1247650000;1
4;4000;15;1189888000;1
4;5000;3;2056976000;2
4;5000;6;1575601000;1
4;5000;9;1683170000;1
4;5000;12;1559550000;1
4;5000;15;1526223000;1
6;1000;3;323366000;0
6;1000;6;305595000;0
6;1000;9;258891000;0
6;1000;12;256291000;0
6;1000;15;380240000;0
6;2000;3;684806000;0
6;2000;6;620670000;0
6;2000;9;569430000;0
6;2000;12;653120000;0
6;2000;15;581604000;0
6;3000;3;1077480000;1
6;3000;6;974294000;0
6;3000;9;1004505000;1
6;3000;12;814759000;0
6;3000;15;1005664000;1
6;4000;3;1734106000;1
6;4000;6;1469107000;1
6;4000;9;1306944000;1
6;4000;12;1259581000;1
6;4000;15;1227993000;1
6;5000;3;1923366000;1
6;5000;6;1632342000;1
6;5000;9;1641160000;1
6;5000;12;1401183000;1
6;5000;15;1446853000;1
8;1000;3;320750000;0
8;1000;6;271076000;0
8;1000;9;253840000;0
8;1000;12;244276000;0
8;1000;15;247734000;0
8;2000;3;658944000;0
8;2000;6;748896000;0
8;2000;9;564604000;0
8;2000;12;580837000;0
8;2000;15;648287000;0
8;3000;3;1056721000;1
8;3000;6;1009282000;1
8;3000;9;1012916000;1
8;3000;12;879162000;0
8;3000;15;845050000;0
8;4000;3;1555841000;1
8;4000;6;1368047000;1
8;4000;9;1253643000;1
8;4000;12;1176857000;1
8;4000;15;1209745000;1
8;5000;3;1901591000;1
8;5000;6;1830046000;1
8;5000;9;1763510000;1
8;5000;12;1715758000;1
8;5000;15;1582958000;1
10;1000;3;351533000;0
10;1000;6;360349000;0
10;1000;9;290247000;0
10;1000;12;261180000;0
10;1000;15;255504000;0
10;2000;3;674676000;0
10;2000;6;720424000;0
10;2000;9;762067000;0
10;2000;12;804745000;0
10;2000;15;665051000;0
10;3000;3;1217783000;1
10;3000;6;1012134000;1
10;3000;9;955259000;0
10;3000;12;862731000;0
10;3000;15;873212000;0
10;4000;3;1744373000;1
10;4000;6;1474883000;1
10;4000;9;1444167000;1
10;4000;12;1417662000;1
10;4000;15;1364792000;1
10;5000;3;2134438000;2
10;5000;6;1767289000;1
10;5000;9;1841690000;1
10;5000;12;1566878000;1
10;5000;15;1642721000;1
